"Feed","IFN","Cost","Forage","DM","CP","SP","ADICP","Sugars","OA","Fat","Ash","Starch","NDF","Lignin","TDN","ME","NEma","NEga","RUP","kd PB","kd CB1","kd CB2","kd CB3","PBID","CB1ID","CB2ID","pef","ARG","HIS","ILE","LEU","LYS","MET","CYS","PHE","TYR","THR","TRP","VAL","Ca","P","Mg","Cl","K","Na","S","Co","Cu","I","Fe","Mn","Se","Zn","Vit A","Vit D","Vit E"
"Unit",NA,"$/Tonne AF","%DM","%AF","%DM","%CP","%CP","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","Mcal/kg","Mcal/kg","Mcal/kg","%CP","%/h","%/h","%/h","%/h","%","%","%","%NDF","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","% DM","% DM","% DM","% DM","% DM","% DM","% DM","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","IU/g","IU/g","IU/kg"
"Alfalfa cubes",NA,"0","100","91.042","18.079","39.296","8.22","0","0","2.131","11.981","1.348","45.461","7.573","56.007","2.025","1.175","0.613","31.012","5.075","30","30","5.5","49.3","75","75","92","1.155","0.474","1.087","1.674","1.088","0.132","0","1.143","0","0.904","0.333","1.291","1.492","0.284","0.284","0.699","2.046","0.163","0.255","0.774","8.538","0","648.518","44.071","0.81","24.343","19.3","1","0"
"Alfalfa dehy",NA,"0","100","93.831","18.493","28","17","0","0","3.994","10.294","0.933","40.37","14.404","62.36","2.255","1.388","0.807","46","5.411","37","37","10","54.1","75","75","6","1.182","0.485","1.111","1.712","1.113","0.135","0","1.169","0","0.925","0.34","1.32","2.228","0.316","0.316","0.267","2.316","0.045","0.28","0.19","11.175","0.13","309","65.25","0.31","50.2","33","0","91"
"Alfalfa fresh",NA,"0","100","30.729","23.082","50","8.672","0","0","1.467","6.233","22.517","37.86","10","63","2.278","1.409","0.826","8","5.668","25","25","5.5","43.5","75","75","82","0.563","0.145","0.722","1.477","0.741","0.282","0","0.965","0","0.762","0.425","0","1.773","0.372","0.372","0","2.923","0.12","0.332","0.65","8.308","0.16","252","39.704","0.18","24.692","155","0","0"
"Alfalfa greenchop",NA,"0","100","40.501","23.142","12.4","6.469","7.1","0","2.467","11.09","2.1","34.385","6.21","59","2.133","1.276","0.706","46","5.411","37","37","10","54.1","75","75","6","1.479","0.606","1.391","2.143","1.393","0.169","0","1.463","0","1.157","0.426","1.652","1.509","0.352","0.352","0.66","2.875","0.074","0.21","0.19","10.5","0.13","309","31","0.31","21","33","0","91"
"Alfalfa hay",NA,"0","100","87.033","19.809","25.186","12.208","8.673","0","1.547","11.871","2.973","41.732","6.77","55.18","1.995","1.147","0.587","25","5.075","30","30","5.5","49.3","75","75","92","1.266","0.519","1.19","1.834","1.192","0.145","0","1.252","0","0.99","0.364","1.414","1.466","0.296","0.296","0.517","2.548","0.1","0.263","0.406","7.823","0","170","44.545","0.55","23.469","19.3","1","0"
"Alfalfa haylage",NA,"0","100","41.039","20.109","25.175","13.735","1.933","0","2.012","12.094","1.88","42.485","6.373","63","2.278","1.409","0.826","46","5.411","37","37","10","54.1","75","75","6","1.285","0.527","1.209","1.862","1.211","0.147","0","1.271","0","1.005","0.37","1.436","1.556","0.33","0.33","0.634","2.752","0.13","0.307","0.19","7.835","0.13","309","42.399","0.31","25.008","33","0","91"
"Almond hulls",NA,"0","100","89.207","5.474","40.917","11.458","15.05","0","2.804","8.295","2.504","38.957","11.056","59.141","2.138","1.281","0.71","46.885","10.815","25","25","6","58.2","75","75","100","0.646","0.131","0.238","0.365","0.276","0.105","0","0.361","0","0.227","0.016","0.301","0.298","0.105","0.105","0.094","2.384","0.024","0.041","0.02","7.058","0","368.115","20.936","0.04","16.257","0","0","0"
"Apple pomace",NA,"0","100","18.487","6.37","20.181","10.625","0","0","6.103","3.138","3.98","45.559","14.855","70.894","2.563","1.662","1.052","56.762","10.677","50","50","5","33","75","75","34","0.18","0.064","0.18","0.35","0.18","0.043","0","0.223","0","0.18","0.287","0.244","0.149","0.086","0.086","0.036","0.83","0.021","0.077","0","8.362","0","105.612","10.794","0","7.844","0","0","0"
"Bakery products",NA,"0","0","88.861","13.144","23.232","5.742","6.317","0","10.036","4.079","37.608","13.865","1.986","91.897","3.322","2.293","1.595","33.416","9.699","16","16","7","81.9","75","75","0","0.627","0.171","0.601","0.982","0.417","0.233","0","0.539","0","0.651","0.131","0.565","0.258","0.15","0.15","0.796","0.533","0.59","0.163","1.342","6.746","0","192.36","44.415","0","43.059","7.7","0","44.9"
"Barley grain",NA,"0","0","89.688","12.778","27.579","2.214","10.65","0","2.198","2.767","56.743","18.29","1.75","84.063","3.039","2.064","1.401","50.768","10.399","30","30","5","79.2","75","75","34","0.617","0.293","0.501","0.873","0.392","0.104","0","0.716","0","0.403","0.161","0.624","0.085","0.132","0.132","0.166","0.526","0.022","0.139","0.35","6.116","0.05","99.396","21.846","1","30.64","3.8","0","26.2"
"Barley grain flaked",NA,"0","0","81.122","12.531","17","5","0","0","2.047","2.867","59.274","26.3","1.905","84","3.037","2.062","1.399","33.071","10.399","30","30","5","79.2","75","75","34","0.605","0.287","0.491","0.856","0.385","0.102","0","0.702","0","0.395","0.158","0.612","0.108","0.155","0.155","0.13","0.559","0.03","0.136","0.35","5.425","0.05","59.5","14.667","0.179","31.2","3.8","0","26.2"
"Barley hay",NA,"0","100","87.989","10.946","44.731","4.116","0","0","2.409","8.361","5.66","56.884","4.323","60.157","2.175","1.315","0.741","32.771","3.593","30","30","3","74.8","75","75","98","0.31","0.109","0.31","0.601","0.31","0.073","0","0.383","0","0.31","0.493","0.419","0.373","0.182","0.182","0.884","1.921","0.226","0.177","1.67","7.054","0","310.184","35.051","0","25.353","15","0","0"
"Barley silage",NA,"0","100","33.632","12.049","65.318","4.917","0","0","3.472","8.645","9.167","54.769","4.767","60.583","2.19","1.329","0.754","20.792","8.266","50","50","4","54","75","75","65","0.208","0.22","0.44","0.765","0.44","0.208","0","0.475","0","0.475","0.163","0.66","0.413","0.176","0.176","0.862","2.06","0.194","0.19","1.405","6.938","0","353.026","38.544","0.15","28.341","0","0","0"
"Barley straw",NA,"0","100","85.068","6.082","48","0.6","0","0","1","12.08","14.875","71.629","5.16","48.271","1.745","0.906","0.363","35.831","2.532","30","30","6","74.6","75","75","34","0.712","0.132","0.223","0.406","0.213","0.071","0","0.314","0","0.172","0.061","0.274","0.516","0.181","0.181","0.39","2.288","0.518","0.207","0","5.1","0","200","42.667","0.448","25.4","0","0","4"
"Beet pulp, dry",NA,"0","0","91.486","9.065","21.894","7.04","8.55","0","1.143","6.844","0.927","41.328","3.935","66.591","2.408","1.525","0.93","53.145","1.684","40","40","8","65.7","75","75","33","0.402","0.17","0.244","0.418","0.272","0.059","0","0.254","0","0.287","0.1","0.408","0.957","0.23","0.23","0.115","0.705","0.19","0.297","0.99","8.404","0","640.718","61.594","0.12","29.913","0.4","0.6","0"
